Nome: SAO PAULO - INTERLAGOS
Codigo Estacao: A771
Latitude: -23.724501
Longitude: -46.677501
Altitude: 771
Situacao: Operante
Data Inicial: 2022-01-01
Data Final: 2022-06-30
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);
2022-01-12;0300;19,2;
2022-01-12;0400;19;
2022-01-12;0500;18,5;
2022-01-12;0600;18,7;
2022-01-12;0700;18,8;
2022-01-12;0800;18,9;
2022-01-12;0900;18,7;
2022-01-12;1000;19,4;
2022-01-12;1100;20,3;
2022-01-12;1200;22,2;
2022-01-12;1300;24,3;
2022-01-12;1400;25,6;
2022-01-12;1500;26,9;
2022-01-12;1600;29,1;
2022-01-12;1700;23,4;
2022-01-12;1800;22,4;
2022-01-12;1900;21,8;
2022-01-12;2000;20,6;
2022-01-12;2100;20,2;
2022-01-12;2200;20;
2022-01-12;2300;20;
2022-01-13;0000;20;
2022-01-13;0100;19,8;
2022-01-13;0200;19,8;
2022-01-13;0300;19,9;
2022-01-13;0400;19,7;
2022-01-13;0500;19,8;
2022-01-13;0600;19,8;
2022-01-13;0700;19,6;
2022-01-13;0800;20;
2022-01-13;0900;19,8;
2022-01-13;1000;20,4;
2022-01-13;1100;21,6;
2022-01-13;1200;24,2;
2022-01-13;1300;25,2;
2022-01-13;1400;26,2;
2022-01-13;1500;26,5;
2022-01-13;1600;23,3;
2022-01-13;1700;21,9;
2022-01-13;1800;20,9;
2022-01-13;1900;21,4;
2022-01-13;2000;21,1;
2022-01-13;2100;20,8;
2022-01-13;2200;20,4;
2022-01-13;2300;20,5;
2022-01-14;0000;20,6;
2022-01-14;0100;20,8;
2022-01-14;0200;20,8;
2022-01-14;0300;20,9;
2022-01-14;0400;20,5;
2022-01-14;0500;20,5;
2022-01-14;0600;20;
2022-01-14;0700;19,8;
2022-01-14;0800;19,9;
2022-01-14;0900;19,9;
2022-01-14;1000;21,2;
2022-01-14;1100;23,8;
2022-01-14;1200;24,7;
2022-01-14;1300;24,5;
2022-01-14;1400;25,1;
2022-01-14;1500;26,3;
2022-01-14;1600;27,3;
2022-01-14;1700;26,7;
2022-01-14;1800;24,5;
2022-01-14;1900;23,8;
2022-01-14;2000;23,6;
2022-01-14;2100;23,4;
2022-01-14;2200;22,6;
2022-01-14;2300;22,5;
2022-01-15;0000;22,3;
2022-01-15;0100;22,1;
2022-01-15;0200;22,1;
2022-01-15;0300;21,9;
2022-01-15;0400;22;
2022-01-15;0500;22,1;
2022-01-15;0600;21,6;
2022-01-15;0700;21,8;
2022-01-15;0800;21,7;
2022-01-15;0900;21,6;
2022-01-15;1000;22;
2022-01-15;1100;22,6;
2022-01-15;1200;24,3;
2022-01-15;1300;25,5;
2022-01-15;1400;26,7;
2022-01-15;1500;27,3;
2022-01-15;1600;27,1;
2022-01-15;1700;24,4;
2022-01-15;1800;24,5;
2022-01-15;1900;25,2;
2022-01-15;2000;26,4;
2022-01-15;2100;25;
2022-01-15;2200;24,9;
2022-01-15;2300;24,4;
2022-01-16;0000;23,1;
2022-01-16;0100;22,8;
2022-01-16;0200;22,3;
2022-01-16;0300;21,3;
2022-01-16;0400;20,6;
2022-01-16;0500;20,1;
2022-01-16;0600;19,3;
2022-01-16;0700;19,6;
2022-01-16;0800;19,6;
2022-01-16;0900;20;
2022-01-16;1000;22,1;
2022-01-16;1100;23,8;
2022-01-16;1200;25,1;
2022-01-16;1300;27,1;
2022-01-16;1400;29;
2022-01-16;1500;29,6;
2022-01-16;1600;27,5;
2022-01-16;1700;30,1;
2022-01-16;1800;28,7;
2022-01-16;1900;28,7;
2022-01-16;2000;24,8;
2022-01-16;2100;19,6;
2022-01-16;2200;20;
2022-01-16;2300;19,9;
2022-01-17;0000;20;
2022-01-17;0100;20,1;
2022-01-17;0200;19,8;
2022-01-17;0300;19,3;
2022-01-17;0400;19,2;
2022-01-17;0500;18,7;
2022-01-17;0600;18,5;
2022-01-17;0700;19,1;
2022-01-17;0800;18,7;
2022-01-17;0900;18,9;
2022-01-17;1000;20,7;
2022-01-17;1100;23;
2022-01-17;1200;24,9;
2022-01-17;1300;26;
2022-01-17;1400;28,2;
2022-01-17;1500;27,5;
2022-01-17;1600;30,2;
2022-01-17;1700;30,6;
2022-01-17;1800;29,9;
2022-01-17;1900;29,7;
2022-01-17;2000;30,6;
2022-01-17;2100;25,5;
2022-01-17;2200;23,5;
2022-01-17;2300;22,6;
2022-01-18;0000;22,3;
2022-01-18;0100;22,9;
2022-01-18;0200;22,7;
2022-01-18;0300;22,4;
2022-01-18;0400;22,8;
2022-01-18;0500;21,3;
2022-01-18;0600;20,4;
2022-01-18;0700;20,2;
2022-01-18;0800;20,6;
2022-01-18;0900;21,6;
2022-01-18;1000;22,2;
2022-01-18;1100;25,6;
2022-01-18;1200;28,1;
2022-01-18;1300;29,4;
2022-01-18;1400;30,3;
2022-01-18;1500;31,6;
2022-01-18;1600;32,1;
2022-01-18;1700;31,9;
2022-01-18;1800;28,2;
2022-01-18;1900;27,6;
2022-01-18;2000;25,7;
2022-01-18;2100;24,8;
2022-01-18;2200;24,5;
2022-01-18;2300;23,8;
2022-01-19;0000;23,3;
2022-01-19;0100;23,3;
2022-01-19;0200;23,1;
2022-01-19;0300;23,2;
2022-01-19;0400;21,1;
2022-01-19;0500;20,8;
2022-01-19;0600;20;
2022-01-19;0700;19;
2022-01-19;0800;18,8;
2022-01-19;0900;19,1;
2022-01-19;1000;23,3;
2022-01-19;1100;24,2;
2022-01-19;1200;27,1;
2022-01-19;1300;28,9;
2022-01-19;1400;30,2;
2022-01-19;1500;31,3;
2022-01-19;1600;32,7;
2022-01-19;1700;29;
2022-01-19;1800;26;
2022-01-19;1900;24,4;
2022-01-19;2000;21,4;
2022-01-19;2100;21,7;
2022-01-19;2200;21,2;
2022-01-19;2300;21,3;
2022-01-20;0000;21,6;
2022-01-20;0100;21,6;
2022-01-20;0200;21,5;
2022-01-20;0300;21,2;
2022-01-20;0400;20,9;
2022-01-20;0500;20,4;
2022-01-20;0600;19,6;
2022-01-20;0700;18,7;
2022-01-20;0800;18,5;
2022-01-20;0900;18,6;
2022-01-20;1000;21,4;
2022-01-20;1100;23,8;
2022-01-20;1200;25,9;
2022-01-20;1300;27;
2022-01-20;1400;28,4;
2022-01-20;1500;29,8;
2022-01-20;1600;31,4;
2022-01-20;1700;28,4;
2022-01-20;1800;28,4;
2022-01-20;1900;25,7;
2022-01-20;2000;22,7;
2022-01-20;2100;22,9;
2022-01-20;2200;23,3;
2022-01-20;2300;21,8;
2022-01-21;0000;20,9;
2022-01-21;0100;22;
2022-01-21;0200;22;
2022-01-21;0300;21,5;
2022-01-21;0400;21,1;
2022-01-21;0500;20,8;
2022-01-21;0600;20,6;
2022-01-21;0700;20,1;
2022-01-21;0800;19,8;
2022-01-21;0900;19,8;
2022-01-21;1000;20,2;
2022-01-21;1100;21,4;
2022-01-21;1200;23,8;
2022-01-21;1300;25,5;
2022-01-21;1400;26,5;
2022-01-21;1500;27,1;
2022-01-21;1600;27,6;
2022-01-21;1700;28,1;
2022-01-21;1800;28;
2022-01-21;1900;27,8;
2022-01-21;2000;25,7;
2022-01-21;2100;23,9;
2022-01-21;2200;22,8;
2022-01-21;2300;21,9;
2022-01-22;0000;21,6;
2022-01-22;0100;21,5;
2022-01-22;0200;20,9;
2022-01-22;0300;20,4;
2022-01-22;0400;19,8;
2022-01-22;0500;19,2;
2022-01-22;0600;18,6;
2022-01-22;0700;18,8;
2022-01-22;0800;18,7;
2022-01-22;0900;19,1;
2022-01-22;1000;19,4;
2022-01-22;1100;20,3;
2022-01-22;1200;22,4;
2022-01-22;1300;24,8;
2022-01-22;1400;26,4;
